mensagem,odio
votar Bolsonaro 2018 ficar dar vacilo ai ne ficar exposto pra 1 tiro peito facada fatal Mano penssa em esse possibilidade morrer em esse evento ai,NOT
honra ser polícia matar lixo alguém defender merecer pro cemitério junto,OFF
velho broxa nojento olhar tamanho testa arrombado Larisso Manoelo idoso URL,OFF
oh resto foda ouvido voz Twitter Relevem aprender tocar teclado Mentira relevar Deixe tomar cu Alana URL,OFF
hoje ir guardar polêmico opinião desgraça,OFF
USER USER USER USER comentário alguém quebrar fodir raiva crescer dar vida Hahahhahahhahahaa derrotar,OFF
Tomou graça pra largar mongolóide,OFF
USER ucraniano sofrer culpa parasita URL,OFF
USER Mano desgraçar velho baixar CR perfeito,OFF
narrador burro chelsea tar champions temp,OFF
USERque mendigo amante,NOT
USER tar escrito né muito gente registrar ruim Ô CARAIO RABBIT TAVA QUIETINHO CANTO DELE PRA,OFF
ridículo homem tentar mostrar tar feliz solteiro storie,OFF
tô pra julgar cara infeliz posicionamento erro retratar vida seguir vdd existir muito hipocrisia comunismo matar milhar pessoa igreja condenar inocente fogueiraO nazismo demônio dever existir problema demonio faceta ideológico filosófico político camuflar,OFF
rael Garcia sanches beijar pau feio,OFF
padre vagabundo,OFF
explícito macho escroto,OFF
Malu gente levar 12 carne ana slc ir levar 2 kilo carne kkkkkkkkkkkkkkkkkr burra fei,OFF
USER INTERNA USER troll pra mae USER USER USER fodão lol,OFF
USER depender pq hoje dia amizade cu rolar,OFF
Quebrei óculos to fodir foder,OFF
Yo I fucked up my Moms recipe pé Moleque URL,OFF
Criolo Silva msm palco mané Lolla mt foda,OFF
Castian ser idiota esperar alguém importar contigo,OFF
USER Daichi viadinho fedelho 14 ano ficar falar merda,OFF
USER USER vcs sao foda boy vsf kkkkkkkkkkkkkkkkkkkkkkk,OFF
USER burrosma olote,OFF
USER USER droga ir estudar guerra mundial falar besteira,OFF
chato pessoa ficar falar ser discurso politico,OFF
USER nao socialismo coerente pensamento PQP nazismo criminalizar socialismo tmbm rigor ter vista morto infinitamente grande ideal,OFF
tar comer qdo assisti video juro q começar rir q comida voltar quase cuspi note verdade começar assistir bosta filme nao conseguir terminar,OFF
USER USER Bolsonaro líder verme,OFF
USER USER lindaaameivar criar canal dança mãe gordinhaparece gordinha lindo q magrinha falar q magra feiastor gordinha lindo poderosasameir mandar bj pfvr,NOT
USER El montón APRETABOTONES ridículo reportandose van en camino el país los nesecitapli UNA PUTIADA yo,OFF
Amigo merd abandonar parceiro hora precisar vc,OFF
USER USER USER tomar cu arrombar,OFF
podré equivocarme en cantar una,NOT
USER ficar insuportável Kkk eliminar 321,OFF
cara divinamente expressar extraordinamente perfeitonão porq pessoa usar droga bebida favorecido expressar língua portuguesaenquanto letrado mau educadosnão estúpir arrogantesprepotentesetc haver issonso diver fala de ele nao Deus guardar,OFF
USER USER USER USER kkkkkk USER,NOT
USER VAMPIROS NAO USER USER USER PRAZER SEXO DROGAS USER AND USER,OFF
Lixo lixo,OFF
tomar cu amor Deus canseir,OFF
deixar pra cacete ódio,NOT
gado,OFF
menina falar mulher casar Mulhero outro menino falar menino casar meninoainda gente falar tar incentivandocomercial bosta tomar vergonha caraencinem próprio filho filho Outrosaí achar ruimbosta comercial,OFF
tropa ladrão USER ta passar ficar brigar cachorro,OFF
USER espaco Tv USER oto candidado fuderamm,OFF
USER deixar pai chamar monstro psi cachorro achar cachorro amor criar fdp pena morte pra junto mandar matar filho ser filha faeia tigo criança culpa pai infelizmente,OFF
USER USER USER USER USER USER caratismo dever assistir vídeo Lula viver teoria esquerdo debiloide vcs próprio pele candidato enrolão 6 cargo comissionar pdt pra postar bosta,OFF
adoorar muuito USER USER USER USER USER,NOT
USER literalmente dormir mulher pra vc deixar tweet Fds aniversário bixa,OFF
comentario falor merda hoje modinha,OFF
USER sair flow criar partido nazista pra pratica liberdade expressão liberar droga kkk,OFF
USER merecer morrer,NOT
USER nao carai,OFF
USER maluco Mendigo Fiquem Ajude sustentar USER Ficar citar nome Deus ser tar errado dizer cara pra amor Deus Plmds,OFF
vídeo mendigo doentio errar marido topar entrevistar leo dias cara expôs mulher pra chamar corno pra completar dar direito resposta pro mendigo URL,OFF
Vou reviver porra kk Netflix arrombar URL,OFF
Quiero vaya nuestra vida una puta,OFF
USER querer matar vc USER confiar vc R USER USER USER USER USER,OFF
país hipocrisia cara haver chateado autista adorar USERs detalhe 10 ano USER vítima USER USER abrir muito porta,OFF
mineradora mundo 3 empresa país deixar desgraça acontecer,NOT
USER USER USER pagar evoluir kkk pessoa foder vc tar kkk valer kkk,OFF
aprender responsabilidade social querer pra ficar palhaçadinha pra leve informal virar babosagem levar sério fogo nazi,OFF
raça vergonha caraisso parecer entalado garganta gibeira sentido alívio falar,OFF
Globo USER,OFF
rt USER gatie caralho URL,OFF
mulher gostar profano monte mulher excitar impressionar degradação humano homem,OFF
mamãe pisar verme URL,OFF
UUSERER UUSERER USERIGNIFICA BURROREUUSERERRDADOUUSERERUUSERERUUSERER UUSERERUUSERER USERINTIDOUUSERER RACIUSEAE VOU UUSERER UUSERER UUSERBE UUSERER UUSERER FALA IUSERUUSERER UUSERER USER UUSERER UUSERERM INVEJA UUSERER USER USERUCEUSERUUSERER USER MODA USERERA INUUSERERRNACIONALMEUSERUUSERER USEREU USER BURRO,OFF
USER ficção USER dizer contrário ta fazer expressar opinião de ele lixo filmelivro fato USER inteligente simplesmente fizesse vídeo falar Crepúsculo muito fan idiota dir ah assistir tar falar falar vídeo de ele querer USER assistir querer,OFF
tar pra nascer mulher burro to celular pq esqueci cabo computador estágio,OFF
falar USER USER acara Brasil ser ignorante ler achar pico intelectualidade citar dado conseguir comprovar,OFF
ei ei bonis ladrao fdp URL,OFF
velho galera ficar puta porra falar mó sério mó bunitinho USER vsf vc ve eclipse ficar molhado USER ficar camisa aaaah pau cu,OFF
USER imbecil idéia falatar muito ideia bom idéia burro tosco,OFF
USER Acasos ignorante quién defendía al gobierno URL,OFF
Twitter putaria desgraçar abrar merda pau cara aguentar abrir escondido,OFF
3 ridículo ft mostrar oq realmente amizade doq ir mudar irmão porra chorar pra crl vida pedir mudança ir encarar cara coragem independente tud URL,OFF
bonito matar ai ta pensar obesidade brincadeira,OFF
ministro Bolsonaro ciência perdi admiração respeito palhaço FODER BOLSONARO ASTRONAUTA FDP,OFF
sentido desfarcar USER USER ehr gay naum USER USER pessoa USERue gay tpo eh gay banca maxão USERue falar neh,OFF
Olhem quão violento corno USER,OFF
bando gado safar cara Davi golpe Brazil6,OFF
larga porra Maconha,OFF
USER cu encaixar qlq situação cu tomar cu tirar cu enfiar cu Vc tomar susto bam cu,OFF
573225738957396deu match olhar agenda disponível pra sair marquar merda começar Internet merda usar Internet começar pessoa distante pra haver 1 km distância,OFF
palhaçada,OFF
q ritma putaria cpx,OFF
USER USER fio prestar atenção USERuis pra acordar Biel pra carregar água pUSER punição n ter ND USER pra pegar água tocar porra jojo USER USER USERuis tar rico USER,OFF
USER emoji carinha psicopata passo mt Malkkjk,NOT
droga hora entrevista Olha merda dar,OFF
vergonha alheio mulher Mds venerar aplaudir Sinceridade falar cara diferente USER achar sinceridade virtude confundir arrogância USER,OFF
USER But uno es tan imbécil fallar en el ufo del drop,OFF
Mano USER chapadooo Nazista,OFF
parar porra doi,OFF
Burra mulher esquecer celular ônibus ta chorar busão querer rir,OFF
argumento Monark ta merda merda merda gente merda USER comer merda,OFF
tar certo levar pra casa bora ti aguentar alguém esculachar achar fodona,OFF
263 2019 amandinha passar rua ai ver florzinha lembrar ce 263 2019 Nanda sério kkkkk 263 2019 amandinha 263 2019 Nanda q chorar 263 2020 amandinhar rosa vermelho 263 2020 amandinho cor puta KKKKKKKKK,OFF
azeiteiro q foda volta terra,OFF
Q roupa esquisito jojoela mostrar boca sujaalguém colocar mulher de ela,OFF
sitio bandido caixinha caixinha ladrão alto,OFF
casa dia feio pqp,OFF
acontecer issoo coitado umlargado ninguém ligar pra explorar imagem de ele ajudamHipócrita,OFF
Deixem criança paz bando capeta,OFF
USER amar hétero condenar homossexual amor direito HASHTAG,NOT
convidado conseguir olhar pro USER merda hein,OFF
USER USER USER literalmente dizer Natália feminismo contrário machismo femismo feminismo querer escroto educado machismo,OFF
mulher educar achar dona,OFF
ter cagar pro cancelamento fizesse monte pessoa trabalhão flow ir ferrar ai sair,OFF
USER USER JAIR BOLSONARO USER PRO INFERNO ABRAÇO,OFF
palhaçada homem estúpido,OFF
USER Ô canalha Mirim faculdade resolver problema dívida KKKKKKKKKKK,OFF
USER so USER ganhar so USER LIKE 14 ano estar cansado voce USER GADO Passado USER gado lavagem cerebral nao mudar ver partido apoiar PRESO provar corrupto apoiar,OFF
Manda fogo Sodoma USER,NOT
USER USER cara engraçado USERma idiota falar mau mulher mandar eleiUSERr luladrao comer capim USER acabar rir,OFF
USER USER USER zuado zé USERLeia debate post gente bom vocêcomo entender nasça,OFF
ficar monte infuencer defender canal tar dar voz prum bosta influencerr q vc curter,OFF
rt USER foda qnd vc tar feio espelho horrível câmera URL,OFF
USER USER USER Silva USER conseguir precisar vario mandato pra deixar país merda USER conseguir metade mandato,OFF
USER comer putinha,OFF
execução mito USER porrar,OFF
USER USER USER verdade palavra dóier dai bolsominion pra arminha Lula ladrão roubar coração,OFF
Cara dar tiro cara de esse 2 vagabundo hora sinto repúdio brasileiro lei benefícia assassino USER monstro justiça dar comer nojo lei lixo,OFF
USER Ladrão safar,OFF
tá certíssimo USER mundo direito beber curtir divertir responsabilidade pé Encher cu pinga largar bagunçar lascar colaborar pra limpar merda Tá certinho bando playboy mimar mão,OFF
USER preconceito trato gay lésbica outro pessoa igual mundo parar preconceituoso principalmente USER estar seculo XXI amor Deus mudar USER mudar mundo,NOT
USER USER burro mau caráter,OFF
único depósito vida transar camisinha fiquei ano medo aids medo ano exato 10 ano aconteceuum gente transar hora limpar gozar pqp burro ter sorte de ela gente querer ferrar fazer filho sair sangue achar gozo acalmar dizer de ela ter machucar,OFF
comercial orgulho paralelo irmã drogar pai marginal outro pai tar preso estuprador tio pedófilo casa gente estar saudade vovô preso matar vovó NÉ respeitar normal normal,OFF
deus olimpo deixar dormir cacete n aguento,OFF
USER USER USER USER USER USER virar putinha Internet defecar msg amor ninguém atenção buscar rede social tar errado porra motoboy mina roupa foto anime perfil eco cabeça,OFF
USER USER USER USER filho cu filho puta,OFF
deu dó Mano kkk,NOT
merda produzir viver classe trabalhador produzir pagar imposto falar Gabriela USER deixar marionete,OFF
ser sujeito mendigo ser foco mulher relação pessoa mulher relacionar MENDIGO pessoa ênfase mendigo aparentemente mundo abordar tema seguinte louco deitar MENDIGO ser achar mendigo gente,NOT
USER USER dever conhecer corno Kkkkkkkkkkkkkj cuzao,OFF
bando infeliz USER USER mecher ai coração Deus nojo,OFF
USER apaixonar ágora fuder USER cobiçar mulher proximo cuar proximo proximo,OFF
Sorriem ter fazer monstro soltos saidinha país deviro mudar issome revolto cm errar,OFF
amar kiso modo twitter formar ariano vida merda oh glória,OFF
bicha vei coragem menina,OFF
USER USER rir USER voce falar eh vdd pq monte menina escroto curter merda viver USER fantasia deixar olhar pra monte cara legal passar idealizar cara q moral vao encontrar tdo USER conhecer voce acabar gordo sozinhavigem cheio poster crepusculo USER otimo USER,OFF
USER conseguir pai família mãe cm filho colo pedir ajuda sinaleira Brasil Poa realidade governador falar Anita caráter de esse político safar tar,OFF
bando gente frouxa aturar issoacha q dona casa USER achar total público encher bola de ela ordem,OFF
rt USER apaixonar s homem q valer gua q bebi t deixar s caamba lixo,OFF
cara investigar aproveitar situação fragilidade psíquico mulher obter favor sexual comprovar cometer crime ser punir exemplarmente,NOT
USER USER comentário noção kkkkkkkkk cara tar boa rua mulher aparecer chamar pro carro USER achar ir NOME USER USER marido de ela pra diminuir corno resolver falar surto,OFF
tolerante dono carneirada submisso contrariar ofender tentar ridicularizar Hipócritas mau perder,OFF
USER gracia pau t amo,OFF
corrupçáo ministro lei proteGe mordomia Marajas cara durar politica Brasil USER apontamdo USER terminar festa,OFF
cancelar guri falar merda estar bêbado fácil cancelar presidente influenciar milhar pessoa vacinar infectar Corona apoiar ditadura golpe militar,OFF
USER USER USER USER vcs sao vergonha pro futebol goiano acontecer hoje pr,OFF
CARALHOOOO ZOOM PORRA JAY FILHA PUTA CEEZA Q CUZAO CARALJO,OFF
USER malditar samuela,OFF
USER USER USER vc foda ídolo,OFF
crepusculo USER,OFF
achar argumento ridículo mudar opinião conseguir refutar linha Resumo URL,OFF
USER USER USER USER USER,NOT
roupa tar ridículo reunião,OFF
Tristão mundo errar mundo falar merda problema pessoa público influente ai necesita cuidado falar vejor tristeza igor falar parabenizar monark aceitar preservar funcionário esperar superar sigam vida bom maneira,OFF
USER Vc hipocrita enganar ninguém safar,OFF
propaganda triste perder cliente pra caramba,NOT
USER foda Luisa deixar ninguém duvidar dissote amo,OFF
Conversa esticar cacete,OFF
mérito lookismo escancarar fator importante ser único atração depósito porra esconder desinformam palavra draminar,OFF
USER Caroline buceta chamar caroline,OFF
Concordo ignorância q respondir conhecimento USER linchamento pesUSERa USER ignorante USER precisar taxar n4z1 conversa mt importante q USERfrer consequência q falar la USER ficor triste pq instagram de ele ter ate gente falar morrer Falei começo repitar ignorância respondir conhecimente USER odio Odio USER gerar odio,NOT
mulher ridículo aff qro q saiir,OFF
oh puto Falei semana rolar daor maridão Escrevi publiquei blog ajuda ler comentar URL URL,OFF
Ficar Gil cachorrada,OFF
USER USER mandar caçar serviço estudo trabalho vida maravilhoso tortura animal lambo bola político garantar único motivo pq representar esgoto humano,OFF
USER verdade cu nick cara,OFF
USER porrar cara kkkk mulherzinha,OFF
achar Igor totalmente deslocar Flow algum acontecer achar USER pra fuder cm canal sacanagem cara,OFF
USER USER vida peido capeta kkkkkkkkkkkkkkkkkkkkkkkkkk raxeei,OFF
Cara adorar crepusculo kkkk vc falar parar pra pensar USER moral USER foda kkkkkkkk USER USER rir USER USER kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkr,OFF
morar desgraçado ultimo precisar pra recuperar,NOT
vingar marido quinhento enfiar chifre em ele vida kkkk lascar personal coitar mendigo kkkkkkkkk,OFF
USER USER USER acreditar criança virar gay,NOT
Tenente Aldo USER BASTARDOS INGLÓRIOS considerar fundo USER querer personagem alguém nazista querer esconder receber MARCA INAPAGÁVEL testa apesar tamanho merda USER falar conseguir levantar inalcançável debate pra USER jamais ser considerável nenhum outro moleque jamais defender USER,OFF
pessoa comentar cara falar morador rua ter analfabeto mulher ir passar mão cabeça mulher problema de ela v USER perna mulher homem,OFF
PUTA MERDA FOFURA URL,OFF
USER SPOILER BRIDGEON ai anthony tomar cu porra vcs situação pq kate gra,OFF
USER USER imbecil Asi nuestra sociedad contaminar con ideologia estupir,OFF
USER eitcho burrinho,OFF
Tomei nojo mulher,OFF
USER vc respeitar cara fofo educar apresentar programa causa macho escroto manipulador chorãoSinceramente procurar ajuda,OFF
Existe Tinder pra amigs Querer amiga pra falar merda fofocar gravar vídeo retardar tirar rolê casa adolescente pedir,OFF
USER Terrorista fantasiar refugiar mandar Europa cortar cabeça URL,OFF
ta parabens comercial lindo danese preconceito,NOT
Demônios USER assumir USER matar menina,NOT
USER anarcocapitalista IGNORANTE achar USER ficar redundante pUSER ancap ignorância sinônimo USERue acreditar investimento estatil USER USER Singapura USERue comparar Brasil investir dobro dinheiro aluno educação básico USERuanto universitário 8000 12000 Singapura salário eUSERuivalentes médico brasileiro PROFESSORES USER USER ser país USERue ta topo pisar causa investimento estatal memso USERue dispensável BURRO PRA CARALH comparar poderiar comparar investimento ser igual Singapura ilha USER cidade USER,OFF
bando gente passar pano pra Jojo aplaudir educação de ela Duvido aguentar morar semana kkkkkkkk,NOT
to cansado vcs discutir racismo vo Unfolo,NOT
USER cara vagabundo,OFF
USER USER estaban mmar y presumier monte cuar hizo Fray play Y ahoritar le Convenía el penal inventar ahí si dicen Ridículos jaja,OFF
puta q parir né mano,OFF
126 pessoa dia inteiro falar cachaça porrar avisar q ir ficar csa de ele kkkk,OFF
USER USER Haja saco escroto harmonização,OFF
Q ridículo Ensinamos filho respeitar pessoa querer q achar normal q pai,OFF
cara foda adorar puro verdade falar Felipee siim homem fodãoo merecer idolatração adorar,OFF
contaminar louco brincar presidente vergonha Brasil miliciano chegar USER,OFF
ficor cara velho broxa retrogamer earthbound ruim msm horrível,OFF
caralho irmão,OFF
USER tiene vergüenza un ambulancia Hijos puta estánr matar gente lo ruso papa andar la puto pario,OFF
mãe quase infarta ver vôlei pqp kkk,OFF
USER USER chegar hora virar jogo limpo corja,OFF
apanhar dar comeu mulher cara kkkkkk,OFF
ninguém tar ser calar boca dormir,OFF
amer conversar porcaria Ana Júlia sintar leve,NOT
bicha ceu q Mao ehr URL,OFF
quebrar porra agulha,OFF
marico es pasan Las coso es más,OFF
USER melhorar áudio merda áudio,OFF
gente pessoa estudo ter atrocidade acontecir Holocausto defesa regulamentação partido nazista JAMAIS SERÁ LIBERDADE EXPRESSÃO Esteja bêbado concordar comentário sofrer ás sanção lei,NOT
kkkkk brinco viadinhar URL,OFF
estupidez,NOT
USER USER USER USER enqt vcs emocionar dudu jogar paulista virar reserva UCRANIA grande revelação Santos destruir real imagine vcs ficar maluco rodrygo jogar dudu reação 2x doente,OFF
USER USER Típico del populista narcisista mentiroso mesianico encantador masa deidiotas creen lo sueño Les prometen pero son imposibles cumplirEnseña ignoranciaresentimiento y reinaras Porqué creen USER Es el borrego Petro,OFF
cara ódio emanuelle ódio mano,OFF
USER PRESIDENTE USER FAVORITO MORRE USER ELEIÇÕES USER USER,NOT
USER bolsonaro Neguinho caralho nome Emicida porra HASHTAG HASHTAG,OFF
Le dije mi ex d fake q ya tengo novio fdp Chao Cabros fue un gustar,OFF
HASHTAG achar vc gordo normal feio,OFF
ai piranha filho puta madrugada pirata ladrao invasor torturador assassino comunista filho puta rato ioiô SERIE B mandar porra comunista filho puta tortura corna comunista fdp privação sono cadelo virar lata pirata fdp,OFF
acontecer cara pau puta parir,OFF
Eita USER porta pra tá fechado posse presidente eleger população emissora marrom aceitar,OFF
julgar mesmo ter dedinho nazist atitude kkkk,OFF
entaar pegar imaginar merda acontecer gente nao ideia imaginar falar pra alguem 2017 covid legal nao acontecer pra sociedade avanço tecnologico gente natureza basicamente,OFF
odeio crepusculo negosio chato chato chato pracaraio,OFF
USER MELHOR sao comentario fã menininha veeelho achar foda vc chamar tao puuuuuuuuuuuuuta voce Aaai escrota mano gritar veer porra jacob cara cachorro camisa USER Muuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuuito gay porra sera nao pra caralho,OFF
pra eu piores pessoa adolescente idiota atenção nojo,OFF
Trabalho criança creia pouco maneira publicidade pequeno idiota lançar ideia Estarei orientar pai compr produto empresa cuidado falência,OFF
absurdo comercial usar criança propagar ideologia,OFF
USER USER USER pervesor criança USER USER cara pedir desculpa pra ninguém preciso urgente aprovar Lei inclua estudo bíblico obrigatório base nacional comum obrigação livrar criança brasileiro esgoto moral,OFF
figura resolver tirar máscara mostrar cara ugar morder paulistano ficar calcinha apertar boca inchar dente horror XÔ URL,OFF
MELHOR FDS PAGINA LAZARENTA FALANDO MERDA URL,OFF
vídeo ficar incrivel achar crepúsculo merda começar video fã,OFF
USER qq homo hetero ñ importar prejudicar caso próprio Boticáriotenho q gay continuar comprar cosmético importar pq q conhecer usar importar hetero q comprar boticario passar comprar Natura USER USERUSER péssimo jogada Marketingo numero dislikes prova,OFF
ridículo,OFF
USER esperar casamento vcs durar q puta desastreKKKKKKKKKKK,OFF
Lindo USER existir gente preconceituoso ignorante,OFF
Arthur tomar cu Mimimi crlh voltar paredão 50 tá q n q voltar dnv foder HASHTAG,OFF
USER lixo igual globosta moro traira,OFF
globo USER ver,NOT
USER gente amar porra falar nome tds fodase,OFF
USER USER USER TA USER USER BRANCO IMAGENS COLORIDUSER PROVAM USERUSER USER VERMELHOUSER USER USER USER MORAL USER LOUCURUSER DUSERE NUSER COMENTARIUSER USER LABIA DUSER LOUCO,OFF
apodrecer cadeia,OFF
USER reporter belo HIPOCRITA,OFF
gado noção,OFF
monark poder admitir erro pedir desculpa despedir decentemente público acompanhar ano atitude de ele mostrar preocupação de ele apologia nazismo cagar pra rapaz explicar birra falar flow cabar,OFF
to nariz escorrer crlh merda praga ruim,OFF
respeito família criançasporque deixar criança ser criança ser adulto decidir escolha sexual pleno discernimento deixar família ensinar acreditar filho empurrar ideologia marra Fique claro absolutamente escolha sexual nenhum adulto capaz lei 18 ano bestialidade demaisUSER USER USER USER Falem lanche aprendam respeitar grego troiano,OFF
USER Son uno hipócrito les importar el bien el Pueblo y seguir en el Gobierno Dan asco,OFF
rato bando bandido sobrar,OFF
USER USER 10,NOT
mds Muie fdp,OFF
foder colocar algum Alexa pra ajudar relaxar dormir,OFF
saudação anão ajudar irmão supor conhecer mulher certo intimidade conotação sexual oferecer dinheiro pra fornicar mesmo passar pervertidoisso viável puro ilusão sentir ofendir,OFF
resumo vcs achar achismo realidade culpa mina burrice coletivo vcs USER Deus,OFF
FODEU,OFF
babaca,OFF
USER USER STF vergonha Brasil organização crime juiz advogado bandido criminoso político corrupto ladrão,OFF
USER palhaçar fazer cara pq falar merda USERuem nao errar vida cambar FDP,OFF
vida fuder puta sair ileso filósofo,OFF
dia acéfalo diferente Margarida culpar único erro cometer confiar pessoa merecer yall are disgusting,OFF
USER vc foda sentido pro humor pra comedia visão criticar jovem engraçado USER chegar inovar fazer mundo pensar refletir rir engraçado comédia humor criticar junto muito inteligencia etc fazer muito genti rir USER gostar USER falar nun video politico quase mundo falar polica achar aque vc ficar cara lingua jovem engraçar,OFF
USER USER insuportável babaca Gustavo merecer resposta lixo,OFF
q pessoa pavio curto ficar tirar c pessoaUSER ver,NOT
nazismo foda época comunismo hoje matar matar muito pessoa hoje criminalizar igual nazismo Precisamos pensar caixa criminalizar comunismo,OFF
Adorei vc autistina maravilhoso gordinha fiquei triste corpo assistir vc Autistina auto parabéns gordinha gostoso magrinha gordo exseso gortosura,NOT
USER USER fODA USER,OFF
USER USER cara achar respeito trabalhar arma votar compensar discutir pessoa ignorante alienar restar dó de ele,OFF
USER USER Palmeiras bom jogador né mongolóide,OFF
USER ta porra celular mão tirar título tirar merda adolescente,OFF
falar mulher bonito ficar impressionado inteligência marido de ela cavalo ignorante,OFF
concordar crepusculo ehr merda total,OFF
USER USER slk otaku vergonha inegável refutar aq kkmkkkkkkkkkkkkk gay,OFF
USER USER USER USER ATOR TENTANDO CONFUNDIR MULHER USER USER SENDO USER,OFF
USER calado poeta,OFF
USER USER Fascista genocidar,OFF
sinceramente lindo Mosso tentar emagrece USER si sentir melhor USER merecer ti matar,OFF
USER Debilóide traficante madeira,OFF
ser Alemanha diferente n existir flow demente prender,OFF
USER USER Wo flaca si nadie Le importar qué molesta en comentar y es tan innecesario metan lo chico en esto estaba hablar Dalas y viene ese random meter tema sin sentido y dice manga ridiculo una fan Dalas ya dónde saco lo estupido,OFF
USER caraio negócio personalidade bater apanhar ficar igual pro player bunda mole agregar vamo tita,OFF
time fundamento festival putaria URL,OFF
monte comentário hipócritas tar lucro marido pé de ele,OFF
covarde curvam manada gado passar próprio nazista saber saber pensar conta próprio dia dia demorar coletivo esmagar indivíduo esmagar grande injustiça humanidade causar grupo pessoa ser incapaz questionar estar fazer problema acreditar combater,OFF
USER bicha tentar diferente Monete ta ganhar dinheiro otario,OFF
USER abrir podcast solo USER achar alguém querer conversar pessoa provavelmente ter imagem manchar,NOT
ex eh parada desgracar nao pq existir,OFF
USER USER USER CÚ USER USER USER USER FALAR USER LIXO USER USER USER USER GLOBO DÃÃÃÃÃÃRD,OFF
1 minuto silencio fodakkkkkkkkkkkkkkkkkkkkkkkkk,OFF
USER mongoloide conseguir ingresso pro onix day reclamar pessoal gravar doja performar kkkj passo,OFF
USER Felipe USER USER,NOT
ir entrar justiça coletivo verme comunista URL,OFF
USER deus céu gente senso ridículo,OFF
USER Q mané ridículo oqqqq sow,OFF
USER feio kkkk,NOT
kkkkkkkkkkkkk 48hrs gas 48 hrs agua encanar kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk mano edição foda,OFF
alienado cego acéfalos verdadeiro massa manobra gado funcional pedir ditadura,OFF
podcast bater USER vivo cara errar bêbado histórico falar merda USER nazista,OFF
crepusculo modinha cú rolar,OFF
USER mendigo tar querer virar estrela,OFF
911segur algum ética milenar falar público ruim ministro Tarsício provar setor público coisa bom eficiente barato profissional valer pena setor privado empreiteira poder porcaria,OFF
USER USER Briguem desgraçado briguar,OFF
homao porra cabelo verde fã,OFF
USER Hey 0ta sos una maldito chayoter reís del dolor del pueblo vece maldito hdlp HASHTAG,OFF
caralhar gente deixar mina feliz,OFF
ficor rir igual retardado URL,OFF
USER falar merda nazista engraçado defender regime sanguinário comunista né ninguém ficar puto dever ficar puto igual,OFF
USER imbecilidade atroz grosseria vulgaridade momento imperdoável,OFF
adiantar debater USER falar partido nazista psicopata defender indefensável,OFF
reclame d Assédiose vc sair c pervetido sexual q conhecer há 2 min exije q respeitar vc estar alcoolizado drogar,OFF
porra crepuscolo merda,OFF
USER jô indoidou cara tá louco clubista q trabalhar jornalista esportivo,OFF
mandar pau cu fundamentalista,OFF
mina chato,OFF
caralho acordar,OFF
USER HASHTAG ser roubar Calcinha apertar trabalhar contribuir Previdencia 38 ano ser roubar governo safar,OFF
saga Crepúsculo lixo início,OFF
fã ex doente fã loira ai morrer vergonha mds vcs agir criança birrento URL,OFF
bk agradecido cliente homofobico,NOT
USER USER calar boca fudir,OFF
verdadeiro demônio,OFF
Falou USER USER haver velho gente curter gostar gostar cú né,OFF
USER galera polítiza vacino puts pesquisar mermão cientista estudo defender vacina mau pra criança estudar filha mãe,OFF
lembrar tweet mulher trans puts,OFF
filho puta querer mina ir meter porrada em esse arrombar,OFF
USER USER Sabías una Jei ayudó si alguien fumaba marihuano solo usar un foto Es re inteligente el marica ese,OFF
USER ingênuo amigo dono You USER criar plataforma judeu Zuckerberg comunicação banco judiciário política USER etc mundo inteiro sionista banir vcAbraço,NOT
USER 2018 pra acabar vagabundo,OFF
Bernardo pra namorar pagar puts lindo t ver 900 porra vdeo aaaaaaa,OFF
enter USER par fingir liga,NOT
USER USER conozco ese Camionero pero Cae puta madre ya Y deja inventar cosa Rodaballo Quemad,OFF
USER USER ENFIA TRIPLEX RABO VAGABUNDO LESA PÁTRIA URL,OFF
entendi mulher ganhar USER voz extremamente chato surto coletivo USER,OFF
USER Maldito homem confiar homem confiar USER único decepcionar ridículo idolatrar Bolsonaro,OFF
cara Bella foda ein,OFF
caralho olhar olho to,OFF
Deus nojo recebi pau horrível CC Homens entendam tico liro sujo seboso vcs tesao NOJENTO Agradeço,OFF
USER USER fake Argentina aguentar ajudar Kkkkk,OFF
confessar li Crepúsculo ler livro idiota vei USER video kkkk Acredite concordar kkkkkkkkkkkkk,OFF
sair de aqui q envolvar travecomemel 2022,OFF
buceta diabo,OFF
mds garota tar parecer traveco maquiagem,OFF
USER pessoa obtuso negacionista criar caos aumentar óbito país péssimo escolha votar professor olha fazer Brasil,NOT
mandar ex tomar cu,OFF
USER lindo ver vídeo vida mudo gordo amaçar barriga so ajudar ficar,OFF
USER off odeior,NOT
USER lixo mesmojá pra cara estar preso dia acontecer marianaresumir novamente,OFF
USER único pessoa ser desgraçado ter decorar tabuado conhecer ainstem m USER,OFF
mulher insuportável chegar pessoal deixar esporro ter gritar jamais ter enxido soberba maneira,OFF
louco rua tira vídeo,OFF
rt USER acabar porraaaaaaaa Brasil porraaa partir Japão caralho HASHTAG,OFF
